date,taux_gbp
2025-12-31,0.8726
2026-01-02,0.8719
2026-01-05,0.8676
2026-01-06,0.8663
2026-01-07,0.8664
2026-01-08,0.8687
2026-01-09,0.8677
2026-01-12,0.8674
2026-01-13,0.866
2026-01-14,0.8668
2026-01-15,0.8674
2026-01-16,0.867
2026-01-19,0.8671
2026-01-20,0.8722
2026-01-21,0.8744
2026-01-22,0.8722
2026-01-23,0.8681
2026-01-26,0.8675
2026-01-27,0.8683
2026-01-28,0.8685
2026-01-29,0.8662
2026-01-30,0.8662
2026-02-02,0.8658
2026-02-03,0.8623
2026-02-04,0.8616
2026-02-05,0.8691
2026-02-06,0.8679
2026-02-09,0.8701
2026-02-10,0.8695
2026-02-11,0.8699
2026-02-12,0.8711
2026-02-13,0.8716
2026-02-16,0.869
2026-02-17,0.8733
2026-02-18,0.8724
2026-02-19,0.8738
2026-02-20,0.8728
2026-02-23,0.8734
2026-02-24,0.8731
2026-02-25,0.8714
2026-02-26,0.8719
2026-02-27,0.8763
2026-03-02,0.8739
2026-03-03,0.8717
2026-03-04,0.8705
2026-03-05,0.8695
2026-03-06,0.86693
2026-03-09,0.8653
2026-03-10,0.86545
2026-03-11,0.86363
2026-03-12,0.86243
2026-03-13,0.86503
2026-03-16,0.86408
2026-03-17,0.8643
2026-03-18,0.86393
2026-03-19,0.86388
2026-03-20,0.86438
2026-03-23,0.8642
2026-03-24,0.86541
2026-03-25,0.86558
2026-03-26,0.86515
2026-03-27,0.8672
2026-03-30,0.86803
2026-03-31,0.86833
2026-04-01,0.87113
2026-04-02,0.87253
2026-04-07,0.87258
2026-04-08,0.86893
2026-04-09,0.87053
2026-04-10,0.87105
2026-04-13,0.87058
2026-04-14,0.86913
2026-04-15,0.86935
2026-04-16,0.86993
2026-04-17,0.87168
2026-04-20,0.87045
2026-04-21,0.87035
2026-04-22,0.86903
2026-04-23,0.86575
2026-04-24,0.86803
2026-04-27,0.8658
2026-04-28,0.86715
2026-04-29,0.86643
2026-04-30,0.86625
2026-05-04,0.86358
2026-05-05,0.86343
2026-05-06,0.8637
2026-05-07,0.8641
2026-05-08,0.8641
2026-05-11,0.86488
2026-05-12,0.86803
2026-05-13,0.86713
2026-05-14,0.86618
2026-05-15,0.8705
2026-05-18,0.8702
2026-05-19,0.86671
2026-05-20,0.86555
2026-05-21,0.86433
2026-05-22,0.86418
2026-05-25,0.86255
2026-05-26,0.86375
2026-05-27,0.86618
2026-05-28,0.86665
2026-05-29,0.86723
2026-06-01,0.86493
2026-06-02,0.86465
2026-06-03,0.8637
2026-06-04,0.8649
2026-06-05,0.86433
2026-06-08,0.8636
2026-06-09,0.8634
2026-06-10,0.86228
2026-06-11,0.8633
2026-06-12,0.86305
2026-06-15,0.86483
2026-06-16,0.86471
2026-06-17,0.86463
2026-06-18,0.86638
2026-06-19,0.86653
2026-06-22,0.86468
2026-06-23,0.862
2026-06-24,0.86165
2026-06-25,0.86183
2026-06-26,0.86253
2026-06-29,0.86215
2026-06-30,0.86178
2026-07-01,0.85973
2026-07-02,0.85665
2026-07-03,0.8572
2026-07-06,0.85538
2026-07-07,0.85411
2026-07-08,0.85435
2026-07-09,0.85363
2026-07-10,0.85155
2026-07-13,0.8533
2026-07-14,0.85215
2026-07-15,0.85093
2026-07-16,0.84873
2026-07-17,0.85098
2026-07-20,0.84888
2026-07-21,0.85205
2026-07-22,0.8534
2026-07-23,0.85318
2026-07-24,0.85388
2026-07-27,0.85524
2026-07-28,0.8555
2026-07-29,0.85635
2026-07-30,0.85715
2026-07-31,0.85573
2026-08-03,0.85633
2026-08-04,0.85639
2026-08-05,0.8572
2026-08-06,0.85705
2026-08-07,0.85765
2026-08-10,0.85565
2026-08-11,0.85483
2026-08-12,0.85358
2026-08-13,0.8549
2026-08-14,0.8545
2026-08-17,0.855
2026-08-18,0.85585
2026-08-19,0.85608
2026-08-20,0.85725
2026-08-21,0.8567
2026-08-24,0.8555
2026-08-25,0.8555
2026-08-26,0.85613
2026-08-27,0.8574
2026-08-28,0.8572
2026-08-31,0.85648
2026-09-01,0.85655
